Coin,Signal Type,Analysis Type,Month,Window (months),Trend Value,Price,Future Price,Price Change (%),Followed by Negative Trend,Price Drop > 10%,Followed by Positive Trend,Price Rise > 10%
bitcoin,Peak,Normalized,2017-02,6,1.6583123951776997,1074.4979858398438,3744.83251953125,248.5192684288033,False,False,,
bitcoin,Peak,Normalized,2017-03,1,1.8576814560512958,1108.9632873535156,1207.1499938964844,8.85391857987349,False,False,,
bitcoin,Peak,Normalized,2017-03,3,1.8576814560512958,1108.9632873535156,2495.510009765625,125.03089491096071,False,False,,
bitcoin,Peak,Normalized,2017-03,6,1.8576814560512958,1108.9632873535156,4240.532470703125,282.3870924368416,False,False,,
bitcoin,Peak,Normalized,2017-05,1,2.864357773488754,1936.6799926757812,2495.510009765625,28.85505190342498,False,False,,
bitcoin,Peak,Normalized,2017-05,3,2.864357773488754,1936.6799926757812,3744.83251953125,93.36351558820336,False,False,,
bitcoin,Peak,Normalized,2017-05,6,2.864357773488754,1936.6799926757812,8427.744995117188,335.1645613622071,False,False,,
bitcoin,Peak,Normalized,2017-06,1,2.019097418641535,2495.510009765625,2531.7775268554688,1.4533108241569404,False,False,,
bitcoin,Peak,Normalized,2017-06,3,2.019097418641535,2495.510009765625,4240.532470703125,69.92648613344534,False,False,,
bitcoin,Peak,Normalized,2017-06,6,2.019097418641535,2495.510009765625,13534.66259765625,442.36058139183376,False,False,,
bitcoin,Peak,Normalized,2017-08,1,2.113266573557014,3744.83251953125,4240.532470703125,13.23690575176705,False,False,,
bitcoin,Peak,Normalized,2017-08,3,2.113266573557014,3744.83251953125,8427.744995117188,125.04998424260931,False,False,,
bitcoin,Peak,Normalized,2017-08,6,2.113266573557014,3744.83251953125,9660.489990234377,157.9685457186642,False,False,,
bitcoin,Peak,Normalized,2017-09,1,1.6614613415601016,4240.532470703125,5360.982421875,26.422388200368918,False,False,,
bitcoin,Peak,Normalized,2017-09,3,1.6614613415601016,4240.532470703125,13534.66259765625,219.17365781689347,False,False,,
bitcoin,Peak,Normalized,2017-09,6,1.6614613415601016,4240.532470703125,8936.639892578125,110.7433430664507,False,False,,
bitcoin,Peak,Normalized,2017-11,1,2.6401017738801213,8427.744995117188,13534.66259765625,60.596489398977724,False,False,,
bitcoin,Peak,Normalized,2017-11,3,2.6401017738801213,8427.744995117188,9660.489990234377,14.6272222976776,False,False,,
bitcoin,Peak,Normalized,2017-11,6,2.6401017738801213,8427.744995117188,8450.204956054688,0.2665002435469121,True,False,,
bitcoin,Peak,Normalized,2017-12,1,2.882089366999833,13534.66259765625,12861.99755859375,-4.969943167840645,False,False,,
bitcoin,Peak,Normalized,2017-12,3,2.882089366999833,13534.66259765625,8936.639892578125,-33.972200429099345,False,True,,
bitcoin,Peak,Normalized,2017-12,6,2.882089366999833,13534.66259765625,6871.5001220703125,-49.230355226880754,True,True,,
