Month,crypto,bitcoin,ethereum,bitcoin_mean,ethereum_mean,solana_mean,bitcoin_zscore,bitcoin_relative,ethereum_zscore,ethereum_relative,crypto_zscore,crypto_relative,bitcoin_normalized,ethereum_normalized,crypto_normalized,pct_change,positive_trend,negative_trend,bitcoin_mean_bull_1m,bitcoin_mean_bear_1m,bitcoin_mean_bull_3m,bitcoin_mean_bear_3m,bitcoin_mean_bull_6m,bitcoin_mean_bear_6m,trend_peak,trend_trough,ethereum_mean_bull_1m,ethereum_mean_bear_1m,ethereum_mean_bull_3m,ethereum_mean_bear_3m,ethereum_mean_bull_6m,ethereum_mean_bear_6m,bitcoin_mean_pct_change,bitcoin_mean_positive_trend,bitcoin_mean_negative_trend,bitcoin_zscore_peak,bitcoin_zscore_trough,bitcoin_norm_peak,bitcoin_norm_trough,ethereum_mean_pct_change,ethereum_mean_positive_trend,ethereum_mean_negative_trend,ethereum_zscore_peak,ethereum_zscore_trough,ethereum_norm_peak,ethereum_norm_trough
2018-10,11.0,10.0,4.0,6534.74755859375,213.36325073242188,,-0.7467894205685017,10.0,-0.8429980173089257,10.526315789473683,-0.7586156231869762,11.0,-0.7467894205685017,-0.8429980173089257,-0.7586156231869762,-53.2444696845345,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,-9.090657139246272,False,False,False,False,False,False,-53.2444696845345,False,True,False,False,False,False
2018-11,13.0,14.0,5.0,5118.1572265625,158.53260231018066,,-0.5022598985211882,14.000000000000002,-0.6473911397599141,13.157894736842104,-0.6326761856845492,13.0,-0.5022598985211882,-0.6473911397599141,-0.6326761856845492,-54.929677888561315,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,-28.28375341934619,False,True,False,False,False,False,-54.929677888561315,False,True,False,False,False,False
2018-12,10.0,13.0,5.0,3816.96142578125,121.8161506652832,,-0.504658400614147,22.807017543859647,-0.5452574242312219,13.157894736842104,-0.6211462203037774,10.0,-0.504658400614147,-0.5452574242312219,-0.6211462203037774,-50.66898946436136,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,-43.984200625485656,False,True,False,False,False,False,-50.66898946436136,False,True,False,False,False,False
2019-01,9.0,10.0,4.0,3678.5867309570312,126.16012954711914,,-0.7244639426703384,24.390243902439025,-0.888948752773452,23.52941176470588,-0.8100288441495566,17.647058823529413,-0.7244639426703384,-0.888948752773452,-0.8100288441495566,-40.870731433813724,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,-43.70728634927333,False,True,False,False,False,False,-40.870731433813724,False,True,False,False,False,False
2019-02,9.0,10.0,4.0,3729.2494506835938,128.0945281982422,,-0.8970041164428978,40.0,-0.9777569144173839,36.36363636363637,-0.994987437106633,31.03448275862069,-0.8970041164428978,-0.9777569144173839,-0.994987437106633,-19.1998829694249,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,-27.13687201070484,False,True,False,False,False,False,-19.1998829694249,False,True,False,False,False,False
2019-03,8.0,9.0,3.0,3997.429443359375,138.3415699005127,,-1.3852616257190227,50.0,-1.339450495795093,33.33333333333333,-1.1840705728069405,34.78260869565217,-1.3852616257190227,-1.339450495795093,-1.1840705728069405,13.565868848242246,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,4.728054529426817,False,False,False,True,False,True,13.565868848242246,True,False,False,True,False,True
2019-04,9.0,12.0,4.0,4798.7586669921875,157.1867332458496,,0.048173385862795626,85.71428571428571,-0.7104094931376502,44.44444444444444,-0.9223833045171945,47.368421052631575,0.048173385862795626,-0.7104094931376502,-0.9223833045171945,24.59303411474576,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,30.45114925817527,True,False,False,False,False,False,24.59303411474576,True,False,False,False,False,False
2019-05,10.0,17.0,5.0,7070.34423828125,219.29048919677737,,2.1882189738308595,100.0,0.1495249931524412,71.42857142857143,-0.5187611684071392,62.5,2.1882189738308595,0.1495249931524412,-0.5187611684071392,71.194267453328,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,89.59161439268198,True,False,True,False,True,False,71.194267453328,True,False,False,False,False,False
2019-06,13.0,21.0,6.0,10187.993286132812,287.44636154174805,,2.416190233228335,100.0,1.2949244257070978,100.0,0.8738697236793548,92.85714285714286,2.416190233228335,1.2949244257070978,0.8738697236793548,107.78017897907546,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,154.8636174944213,True,False,True,False,True,False,107.78017897907546,True,False,False,False,False,False
2019-07,11.0,19.0,8.0,10793.8056640625,255.28404235839844,,1.4827267319196749,90.47619047619048,2.2248595461287572,100.0,0.08365079480040735,78.57142857142857,1.4827267319196749,2.2248595461287572,0.08365079480040735,62.408135271262786,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,124.92912048915237,True,False,False,False,False,False,62.408135271262786,True,False,True,False,True,False
2019-08,8.0,16.0,4.0,10350.889404296877,199.30292510986328,,0.6203877914785446,76.19047619047619,-0.6232319625116044,50.0,-1.2445282538830336,61.53846153846154,0.6203877914785446,-0.6232319625116044,-1.2445282538830336,-9.114651602139713,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,46.39866257506444,True,False,False,False,False,False,-9.114651602139713,False,False,False,False,False,False
2019-09,7.0,12.0,3.0,9163.495361328123,183.08315658569336,,-0.4064609668307709,57.14285714285714,-1.148213000400873,37.5,-1.4920423841805575,53.84615384615385,-0.4064609668307709,-1.148213000400873,-1.4920423841805575,-36.30701895000234,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,-10.05593443214342,False,True,False,False,False,False,-36.30701895000234,False,True,False,True,False,True
2019-10,7.0,12.0,3.0,8742.009643554688,179.39549255371094,,-0.46432747064976654,57.14285714285714,-1.0373461122122112,37.5,-1.2360330811827902,53.84615384615385,-0.46432747064976654,-1.0373461122122112,-1.2360330811827902,-29.72710283948968,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,-19.009013913778126,False,True,False,False,False,False,-29.72710283948968,False,True,False,False,False,False
2019-11,7.0,12.0,3.0,8221.460205078125,165.92324447631836,,-0.4165661476373985,57.14285714285714,-0.8903891243680074,37.5,-1.1055415967853377,53.84615384615385,-0.4165661476373985,-0.8903891243680074,-1.1055415967853377,-16.748214114341163,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,-20.572427315615794,False,True,False,False,False,False,-16.748214114341163,False,True,False,False,False,False
2019-12,6.0,11.0,3.0,7262.174072265625,138.75955963134766,,-0.6241382808046553,52.38095238095239,-0.7637626158259897,37.5,-1.3540064007728738,46.15384615384615,-0.6241382808046553,-0.7637626158259897,-1.3540064007728738,-24.20954378378315,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,-20.74886507921937,False,True,False,True,False,True,-24.20954378378315,False,True,False,False,False,False
2020-01,8.0,13.0,4.0,8253.385864257812,155.63533401489258,,-0.17895052295316854,61.904761904761905,-0.10910894511799869,50.0,-0.2953249540404469,61.53846153846154,-0.17895052295316854,-0.10910894511799869,-0.2953249540404469,-13.244568300234505,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,-5.5893758897546775,False,False,False,False,False,False,-13.244568300234505,False,True,False,False,False,False
2020-02,8.0,14.0,6.0,9224.1064453125,216.7077865600586,,0.0,66.66666666666666,1.0324202016951516,75.0,-0.25289026942947646,61.53846153846154,0.0,1.0324202016951516,-0.25289026942947646,30.60724990282391,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,12.195476414458263,True,False,False,False,False,False,30.60724990282391,True,False,True,False,True,False
2020-03,9.0,19.0,5.0,7078.2698974609375,174.62726020812988,,1.2135870333746384,90.47619047619048,0.31914236925211903,62.5,0.21094639574317584,69.23076923076923,1.2135870333746384,0.31914236925211903,0.21094639574317584,25.848814072395786,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,-2.5323570183620525,False,False,True,False,True,False,25.848814072395786,True,False,False,False,False,False
2020-04,9.0,16.0,5.0,7684.7242431640625,174.6187515258789,0.8362715095281601,0.25057012616801994,76.19047619047619,0.26636334658609406,62.5,0.21094639574317584,69.23076923076923,0.25057012616801994,0.26636334658609406,0.21094639574317584,12.197369981015903,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,-6.890040408220843,False,False,False,True,False,True,12.197369981015903,True,False,False,True,False,True
2020-05,10.0,20.0,6.0,9126.226806640623,215.91025924682617,0.6288104951381683,1.2805501909890546,95.23809523809523,0.8259361613561207,75.0,0.7172177455267985,76.92307692307693,1.2805501909890546,0.8259361613561207,0.7172177455267985,-0.36801968489091896,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,-1.0611286768228645,False,False,True,False,True,False,-0.36801968489091896,False,False,False,False,False,False
2020-06,8.0,14.0,6.0,9444.17236328125,232.2174835205078,0.7525072544813156,-0.2663633465860973,70.0,0.8259361613561207,75.0,-0.1187542171991081,72.72727272727273,-0.2663633465860973,0.8259361613561207,-0.1187542171991081,32.97894225892275,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,33.42486935499578,True,False,False,True,False,True,32.97894225892275,True,False,False,False,False,False
2020-07,11.0,14.0,8.0,10215.5830078125,286.2112731933594,1.2849497497081757,-0.14655259544014285,70.0,2.064840403390302,100.0,2.0188216923848454,100.0,-0.14655259544014285,2.064840403390302,2.0188216923848454,63.906379293372865,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,32.93363150798494,True,False,False,False,False,False,63.906379293372865,True,False,True,False,True,False
2020-08,12.0,16.0,11.0,11593.715576171877,392.2608871459961,3.149929702281952,0.5568998626725438,80.0,2.3791817577847993,100.0,1.9621416870352386,100.0,0.5568998626725438,2.3791817577847993,1.9621416870352386,81.67774357473579,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,27.03733779370687,True,False,True,False,True,False,81.67774357473579,True,False,True,False,True,False
2020-09,10.0,13.0,8.0,11111.845458984377,399.6996383666992,3.703833103179931,-0.5396077006383981,65.0,0.9623496446136336,72.72727272727273,0.7083959468534846,83.33333333333334,-0.5396077006383981,0.9623496446136336,0.7083959468534846,72.12297382053086,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,17.658223839571228,True,False,False,True,False,True,72.12297382053086,True,False,False,False,False,False
2020-10,9.0,14.0,6.0,12255.288330078123,375.3966751098633,2.191727191209793,-0.2492927850046458,70.0,0.03663493014041895,54.54545454545454,0.04970713872887941,75.0,-0.2492927850046458,0.03663493014041895,0.04970713872887941,31.16068801952878,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,19.966607101187783,True,False,False,False,False,False,31.16068801952878,True,False,False,True,False,True
